"FileName";"FileSize";"FileModifyDate";"FileAccessDate";"FileInodeChangeDate";"FilePermissions";"FileType";"FileTypeExtension";"GPSLatitudeRef";"GPSLongitudeRef";"GPSLatitude";"GPSLongitude";"GPSPosition";"Megapixels"
"20210719_104006.jpg";"4081059";"2021:09:21 08:59:12+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4038528000000";"11,3164656000000";"49.4038528 11.3164656";"12"
"20210719_104034.jpg";"3041227";"2021:09:21 08:59:14+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4038528000000";"11,3164656000000";"49.4038528 11.3164656";"12"
"20210719_104144.jpg";"4397987";"2021:09:21 08:59:16+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_104158.jpg";"1758189";"2021:09:21 08:59:14+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4041793997222";"11,3170449000000";"49.4041793997222 11.3170449";"12"
"20210719_104321.jpg";"4002318";"2021:09:21 08:59:18+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4041793997222";"11,3170449000000";"49.4041793997222 11.3170449";"12"
"20210719_104406.jpg";"3301804";"2021:09:21 08:59:16+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_104440.jpg";"3523223";"2021:09:21 08:59:20+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_104536.jpg";"4615856";"2021:09:21 08:59:22+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_104633.jpg";"2591096";"2021:09:21 08:59:20+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";;;;;;"12"
"20210719_104730.jpg";"4070598";"2021:09:21 08:59:22+02:00";"2021:09:28 18:25:41+02:00";"2021:09:26 00:07:31+02:00";"100744";"JPEG";"JPG";"N";"E";"49,4046305997222";"11,3164783000000";"49.4046305997222 11.3164783";"12"
